FMT,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
GPS, 26498147, 0, 3, 221174199, 2252, 18, 0.64, 52.5259606, 13.314336, 63.91, 0.04159327, 350.3112, -0.024, 0, 1
GPS, 26698194, 0, 3, 221174399, 2252, 18, 0.64, 52.5259605, 13.3143361, 63.92, 0.05909315, 113.9625, -0.108, 0, 1
GPS, 26898273, 0, 3, 221174599, 2252, 18, 0.64, 52.5259604, 13.3143362, 63.9, 0.02816026, 263.8845, -0.059, 0, 1
GPS, 27098171, 0, 3, 221174799, 2252, 18, 0.64, 52.5259602, 13.3143363, 63.9, 0.04123106, 112.8336, -0.061, 0, 1
GPS, 27298125, 0, 3, 221174999, 2252, 18, 0.64, 52.5259601, 13.3143365, 63.91, 0.02376973, 104.6209, -0.016, 0, 1
GPS, 27498170, 0, 3, 221175199, 2252, 18, 0.64, 52.5259601, 13.3143366, 63.9, 0.06000834, 0.9548413, -0.005, 0, 1
GPS, 27698193, 0, 3, 221175399, 2252, 18, 0.64, 52.5259601, 13.3143367, 63.9, 0.03001666, 209.9817, -0.025, 0, 1
GPS, 27898178, 0, 3, 221175599, 2252, 18, 0.64, 52.52596, 13.3143369, 63.91, 0.04805206, 102.0115, 0.013, 0, 1
GPS, 28098138, 0, 3, 221175799, 2252, 18, 0.64, 52.52596, 13.3143369, 63.9, 0.06300794, 305.9605, -0.013, 0, 1
GPS, 28277884, 0, 3, 221175999, 2252, 18, 0.64, 52.52596, 13.3143369, 63.92, 0.05883026, 301.7989, -0.081, 0, 1
GPS, 28498155, 0, 3, 221176199, 2252, 18, 0.64, 52.52596, 13.3143369, 63.92, 0.04709565, 176.3478, -0.023, 0, 1
GPS, 28698249, 0, 3, 221176399, 2252, 18, 0.64, 52.5259599, 13.3143369, 63.9, 0.02061553, 292.8336, 0.026, 0, 1
GPS, 28898135, 0, 3, 221176599, 2252, 18, 0.64, 52.5259599, 13.3143369, 63.9, 0.05560576, 217.6942, 0.012, 0, 1
GPS, 29098201, 0, 3, 221176799, 2252, 18, 0.64, 52.5259597, 13.3143368, 63.87, 0.02137756, 190.7843, -0.075, 0, 1
